sample_id,reason,archetype,stories,bays_x,bays_y,lines_x,lines_y,span_x_m,span_y_m,story_height_m,bottom_story_height_m,total_height_m,brace_x,brace_y,brace_density,beam_scale,col_scale,brace_scale,beam_stiffness_modifier,col_stiffness_modifier,brace_stiffness_modifier,super_dead_kpa,live_kpa,snow_kpa,selfwt_floor_kpa,temp_delta_c,wind_coeff_x,wind_coeff_y,eq_coeff_x,eq_coeff_y,plan_skew_deg,twist_total_deg,lean_total_m,setback_ratio,eccentricity_ratio,aero_shape_factor,twin_tower,tower_gap_m,podium_levels,shape_irregularity_index
612,Rejected row by quality filter: roof_ux_eqx_m exceeds displacement cap,mega_extreme,199,2,2,3,3,21.93676075859237,25.850230186335246,11.982729678210841,12.771527524654612,2385.352003810401,1,1,0.5915974751298565,1.3689411067018131,0.921873978116183,1.016786785132585,1.0832178193862882,1.1729931319551354,1.0315009788712746,1.1014907265123255,6.6917368049851715,3.983266949727301,1.827320541387439,20.654473203854405,0.013078016775606171,0.05137579753263992,0.20287520320687485,0.15879872484886187,12.121524125262567,75.84267715268737,28.969802467795862,0.005076911453598542,0.06897240602223767,0.5984095941200468,0,0.0,0,1.188711821915
644,Rejected row by quality filter: roof_ux_eqx_m exceeds displacement cap,mega_extreme,183,3,2,4,3,17.422551131054632,28.114564612617105,17.85430169828913,19.35153119920817,3268.83444028783,1,1,0.9883935855064887,1.2344642623505862,1.6460224878142722,1.517857415309841,1.1456907137541563,1.1335823407878238,0.9195553373875892,1.9937670170722968,7.3276552094820016,3.4575862763271625,2.4844661420488543,42.73200798434333,0.03906846947426685,0.038226892424129126,0.1836971726422522,0.08581825543536348,41.078480394353065,99.23043672050461,49.29587783699142,0.17956702327324225,0.1907412270326579,0.9044477423918925,0,0.0,0,1.1799990468477537
691,Rejected row by quality filter: roof_ux_wx_m exceeds displacement cap,mega_extreme,194,3,4,4,5,16.264774610068784,27.268675121117415,17.509671986705328,18.823439967694252,3398.1901334018225,1,1,0.7910047182896949,1.567669583366142,1.132217204630115,1.5602718777440692,0.8692574446100865,1.0666865643575754,0.9270590871024367,2.9016036082331045,4.0357131309621765,0.3672424417607409,2.2962336100483767,46.022295980387774,0.022192978953398692,0.05861057035161383,0.06401903433806924,0.05610532536990254,23.44665034721077,95.33786551411941,71.70246170335376,0.2400329795324291,0.17801046184072727,1.237804537814342,0,0.0,0,1.4037896821260916
718,Rejected row by quality filter: roof_ux_wx_m exceeds displacement cap,mega_extreme,193,4,4,5,5,18.844272770347555,20.47870435980507,15.173298347816266,16.117056600882034,2929.390339381605,1,1,0.32731644745731636,0.9595755318496919,0.9266998082374778,1.0906912670854076,1.0418747693266113,1.0564632659198616,1.1023617453745458,3.2975697852225254,2.411129335962551,0.25801831539772,2.25071628086934,41.96766385871262,0.04896926145991932,0.02720337264268495,0.18404539122662825,0.044380342944288845,34.44966813115806,40.2541315658637,53.95771481641301,0.31504589539516537,0.07954813849704355,1.4191859438916001,0,0.0,0,0.7920360658764922
771,Rejected row by quality filter: roof_uy_eqy_m exceeds drift-ratio cap,mega_extreme,180,3,4,4,5,19.248122896486773,14.205985885381176,12.60129057533394,13.339110687310244,2268.9701236720853,1,1,0.9907303815759897,1.01363440343523,1.1437893401901915,1.5705458381966682,1.0567584465472508,1.0608912029394473,0.9396149378523917,2.698988921360418,7.637437497890107,2.7130109550690227,1.8092572448790696,36.65735607618667,0.07203015609124491,0.07389940627947293,0.10601675147405011,0.14553159046252118,36.48510993882381,113.21272406695675,29.084343606423992,0.5538026106546647,0.24407843257628592,1.447674146875356,0,0.0,0,1.1440460781778208
872,Rejected row by quality filter: roof_uy_wy_m exceeds displacement cap,mega_extreme,209,3,3,4,4,28.399487998749148,19.7334428421369,15.371903017823332,16.288501060761263,3213.644328768014,1,1,0.6644132662818751,1.4393709693850703,2.1902148319260966,0.837508657195142,1.0343591477929541,1.1150333005617152,0.9917817918519056,4.103587124207445,4.470453469423127,0.7401530787837602,2.7088156320406,57.03213226208148,0.016966044285812054,0.06261766070081873,0.07085270164139174,0.031277221357114124,14.540969643596963,86.54358235006576,69.71290187875708,0.04899190745521418,0.24874215686694784,0.5088838016260705,0,0.0,0,1.2665558028920207
887,Rejected row by quality filter: roof_uy_wy_m exceeds displacement cap,mega_extreme,209,4,3,5,4,27.885434078831565,18.960168386427775,17.448027676700516,18.50027815852838,3647.6900349122357,1,1,0.4374093846562933,1.3836513464370626,1.3932141058519898,1.2462180056293164,0.9611107818308038,1.056488805865752,1.1189411685277635,3.5051834072958465,6.395686765457117,1.7596745797058821,2.3809908858267077,20.413004835248294,0.04341998942939059,0.05081748417622936,0.16043161558168484,0.20327923843330759,24.551787808313012,115.08679964823895,63.702284576613124,0.22665554824005898,0.10830855083746449,0.8670635243138275,0,0.0,0,1.3564613294337624
899,Rejected row by quality filter: roof_ux_eqx_m exceeds drift-ratio cap,mega_extreme,210,4,2,5,3,14.654661908045014,22.37372200965185,8.928419719058034,9.828796358311834,1875.868517641441,1,1,0.4766083192178209,1.1744034090759854,1.4022051929236692,1.073506833320016,0.9665179508446112,0.903335313123619,1.1658782004364754,4.4161831505601565,7.106225244204899,0.025840233244087463,2.5017710933892436,37.8012089745091,0.016592243770542525,0.07530013944157184,0.17748125455230102,0.057606294425137795,14.31422760250189,13.745241919672724,5.121088304427888,0.25751811728051227,0.21585212869289827,0.8419718930955273,0,0.0,0,1.0420251317179359
991,Rejected row by quality filter: roof_uy_eqy_m exceeds drift-ratio cap,mega_extreme,181,2,2,3,3,23.71232047566405,18.502930709794406,9.782244858068953,10.434147563006329,1771.238222015418,1,1,0.6375206806596833,0.8789512035257921,1.69497232985858,1.4877724133602097,0.8508380879623846,0.9479894032943172,1.0553970366015966,2.875568006277203,3.731790243581769,0.12570515997543358,2.487200191099678,20.632106148747432,0.055120411133056095,0.049140271875435314,0.11185923566738583,0.14215500562288935,44.39131066989498,119.79114420621237,74.65830835694193,0.08633775262208705,0.14838490506459892,1.395774163321364,0,0.0,0,1.2401267566232326
997,Rejected row by quality filter: roof_uy_wy_m exceeds displacement cap,mega_extreme,154,4,2,5,3,12.902014990967135,13.065964758713765,18.747280048535394,20.023849857532536,2888.357697283448,1,1,0.3134726680541386,1.494224090170108,1.6670041090101049,0.9783460526802804,1.14332295660936,1.181920282118649,1.1537177465021133,4.172905701769844,3.9839211867944924,1.0251219260231526,1.3658077233184638,53.4355183625677,0.06786419442307608,0.07866568683344562,0.19116789927627845,0.15014952364603312,28.562128494737536,21.25815327513626,27.211533510513632,0.3680703022099125,0.16914652756297494,1.2864077221399248,0,0.0,0,1.1573546108342136
1002,Rejected row by quality filter: roof_ux_eqx_m exceeds displacement cap,mega_extreme,190,2,2,3,3,21.345572117004824,27.61468841808376,11.509142537922944,11.926953008980687,2187.154892676417,1,1,0.55629262598844,1.2608404594617877,0.9891358258250544,1.432343135763813,1.0976503804591171,0.9639481736615104,1.1395254564704935,2.1372795575326498,4.250216156237124,4.213747144413074,2.783808781920034,27.50575708590543,0.044167721400582186,0.030056665162309475,0.12793250908624573,0.15956250153863918,10.582087881303439,42.577376284237765,26.065595844432565,0.10193573944683496,0.248917328223965,0.7489485737839325,0,0.0,0,0.7159336782085113
1012,name 'add_cantilever_beams' is not defined,mega_extreme,186,2,3,3,4,10.876075315744576,13.085789841350957,16.196587438909454,16.53695146248578,3012.905627660735,1,1,0.7751988265016868,1.115511645174735,2.1483897020928016,1.6047643574968018,0.9549913516120698,0.9653312415720976,1.1229982015899902,1.3869604311591013,2.7994033160882044,0.03681134875502756,2.731233630504705,45.89649882574583,0.0664132302901068,0.07245832248175743,0.2669559679570406,0.43267484449338967,21.40388753483532,91.92383714985988,77.4007785947368,0.22227582362092133,0.1439111622551616,0.6894713590842857,0.0,0,0.8039372042683772,1,0,0,0.0,0.02902819704903735,major_one_end,1,pinned,0,none,0,0.1381576203415547,0.03767093915505981,0.23781117581837796,1.761139701990353,2.1363093189708215,0.02332738612391048,4.977122658425619,1.1112394072697744,0.32436774609701063,1.6438651200806644,1.411380806635415,1.0830242596481994,0.6908954887139107,-4.3618274389582465,1.858683640789615,1.505331519297652,1,0.18952193502134346,6.903969880725813,4,0.020953668565844078,0.04868141109777065,0.07230472073519825,0.06404361178931087
1013,name 'add_cantilever_beams' is not defined,hybrid_braced,21,4,4,5,5,6.41743229976926,6.056780182834651,3.5900478607756416,4.215003729016221,76.01596094452906,1,1,0.7227119448391663,1.157540718970382,1.0314748789741515,0.9180059021205154,1.1847590658198057,1.2134322762830427,1.1298828535242997,1.9166538381299822,7.799646452760205,3.893754519828973,2.5771584161497905,33.613605622195955,0.03177932494761272,0.017711276972279942,0.14539210569507707,0.1254961013431871,6.928158453770811,0.0,0.0,0.03225435580672036,0.0,0.0,0.0,0,0.0,1,0,0,0.0,0.10010447751033635,major_one_end,1,mixed,1,rigid,2,-0.2698289485248186,0.2673611847161887,-0.014451896928433738,1.5652361064811888,2.1004980576072434,0.0562566908000384,5.544686703618977,1.167762148223624,0.10638253432191426,1.0308178345679395,1.2183586946161813,1.0143754018458586,0.7634114574898545,87.3393948586534,0.7816238383646924,1.2251071136175973,2,0.044369936434106944,2.701226994636124,7,0.03478624316271028,0.030066446855357528,0.06444067105566179,0.055830574903571906
1014,name 'add_cantilever_beams' is not defined,triple_twin_mega_cluster,193,8,2,9,3,14.875677639724337,12.411517184714501,9.565470454500572,10.346479058207878,1846.9168063223178,1,1,0.922120578879825,0.9692117256488191,1.731054215308574,0.9085757411354436,1.0688960372159246,0.9624935135356033,1.1137690538767606,3.8533773800049067,6.496208697464771,0.5387047297794828,3.0152260593027376,21.122197481008207,0.012993004494094382,0.05438819755131867,0.06090803791687775,0.28206687770075617,17.267674858863025,44.066083158671226,0.0,0.0,0.19129570369649762,1.0573824419008602,23.309199996897544,4,1.4734894010569537,6,4,5,23.309199996897544,0.019947069920276565,major_one_end,1,pinned,0,rigid,2,-0.13583036309454324,0.2316878275767584,-0.16161360853038415,1.8566142840923754,2.089483200719857,0.06176509213681089,4.87651171876307,1.188192652210733,0.20443428911945744,1.6498466015548199,1.0422221605699447,1.074742220651183,0.616645669544757,-1.7013878766721469,0.9023338644124657,1.0827223741780414,1,0.146911143044428,5.457917586603857,2,0.012676683584159874,0.04663040532695588,0.049836402058428445,0.03297462592650827
1015,name 'add_cantilever_beams' is not defined,slender_tower,25,4,3,5,4,6.245515864822972,7.662225344249812,3.7226274532995953,3.856546651664229,93.19960553085453,1,1,0.7582440052096431,0.9535576289342514,1.6594948974309496,1.4942624356428866,1.032446643688361,0.929910260664023,1.1716498104729052,3.8047099443863672,6.303396025451021,0.6552887577865663,1.2722583680307582,60.871065407370935,0.04180625550599525,0.03407589534247518,0.04763935608738963,0.03679174895062347,7.946519985718599,30.609671429311256,0.0,0.0,0.05103236729000947,0.6664429029447065,0.0,0,0.0,1,0,0,0.0,0.07830958556365804,major_one_end,1,mixed,1,partial,1,-0.12800277502409926,0.38115975802789803,-0.10454108092994069,1.5150571292317145,1.2351406539649248,0.07584283205318262,5.5,1.0134731858176986,0.15228397100106328,1.9923755640558372,1.4458386331274569,1.1745824058370848,0.95631699635141,0.18858360386449036,1.1423006725631102,1.6176099456887905,2,0.06005929489618739,1.0661509449537028,2,0.021814597799316954,0.009251000062768189,0.06176885201712988,0.02689715714644626
1016,name 'add_cantilever_beams' is not defined,long_span_hall,4,2,3,3,4,18.735312781329288,13.110585036482119,15.127034358119639,16.351887503255504,61.73299057761442,1,0,0.35962993314452374,1.55096456188789,1.3655020108861118,0.9438719329711427,1.16838818899498,0.9162126890941112,0.9638880329351742,1.4451762598066464,2.250685413824807,0.10574008168220017,1.1218699001613723,17.954563843343603,0.01427055461017403,0.0572915052888777,0.09291490982211517,0.27691719971621587,11.347422051907493,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17435186888540743,1,0,0,0.0,0.27099870889927435,major_both,2,mixed,1,none,0,-0.14948764118256147,0.3699233717248109,-0.23757025430687184,1.5551980423268246,1.8777576898578447,0.021883331243798963,5.5,1.1257342957948913,0.3381811692501136,1.5960425532343727,1.4665116108001057,1.1913082746838912,0.7869526406221166,40.17836783976988,0.8528015954720289,1.663542891906189,2,0.2865035700608616,2.37403523645947,2,0.015468833388489516,0.02888463157695741,0.05163313909040079,0.07047720467187281
1017,name 'add_cantilever_beams' is not defined,setback_tower,63,5,5,6,6,6.403656625239441,7.608204107842912,4.217067444228498,4.6565800902651135,266.11476163243196,1,1,0.4956216733094091,1.1725444677678896,1.9286150181839181,1.0968764745712853,1.1795431706861361,1.2165392078152713,1.0423641713200313,2.179117061019693,4.98032613389502,4.242802443868123,2.4356921492322243,53.85033419298341,0.05261778208525922,0.06063341034140966,0.10311994655274533,0.10291655277114417,12.791265424742202,0.0,0.0,0.23478132363512372,0.04131706540006769,0.0,0.0,0,0.26988420547697844,1,0,0,0.0,0.0634514091816622,major_one_end,1,pinned,0,rigid,2,0.0031683659155610777,0.35000197689384344,0.175565813411103,1.043475062012792,1.108547296314091,0.030388416621785742,5.5,1.171369795522832,0.14569184899611728,1.049254119927594,1.1868070692297858,1.1071258846152912,0.6406687611614864,-4.480381335348957,1.994778616625287,1.0792905132639004,2,0.2108937378994382,2.094509742140545,7,0.04561939147674277,0.04908068062639667,0.06574586337969875,0.06412238293553568
1018,name 'add_cantilever_beams' is not defined,highrise_regular,29,4,5,5,6,7.90980847501647,7.9981117912801665,3.8445072509028004,4.246842912821979,111.89304593810039,1,0,0.9237749105211518,1.4981523250100546,1.3058024113652635,1.164192017772054,0.9257759920817051,0.9130446594499998,0.9091133490168767,4.731735346178125,4.346376241791896,1.9165991138870493,2.605308559090232,39.520604719415296,0.08489119894707697,0.07242411951275138,0.10498067534123144,0.06430169000005544,2.3946717700224562,0.0,0.0,0.0,0.0,0.04684142636004421,0.0,0,0.0,1,0,0,0.0,0.03613963083375379,major_one_end,1,mixed,1,rigid,2,0.13635869017294877,0.34428762733035767,-0.18394858134922804,1.6143797405419198,0.9616627719908889,0.06217151583764275,5.5,1.2807819468101878,0.048092775513230754,1.9588802459090804,1.4004420880425483,1.1281046013399063,0.9130496418518188,94.4602706281733,1.054736695374862,1.4720607162866473,2,0.08578632850405278,4.870510520371782,4,0.03272745650108546,0.012708108684175497,0.04867644402601582,0.04921499701043718
1019,name 'add_cantilever_beams' is not defined,long_span_hall,1,1,4,2,5,23.982325249917665,15.801500186705564,7.266170177777859,7.563476518597206,7.563476518597206,1,0,0.25407237559652535,0.893909229462239,1.8088877664715914,1.6014818108594153,0.8954211282509554,1.1897635371692292,0.8728927760613041,4.16404818529504,7.530670296119823,3.8605419955219027,2.535865724753002,55.76487246335684,0.013212103963765313,0.02614256885752443,0.31323617351487604,0.08639189362768447,0.7249875801117356,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17224841741234415,1,0,0,0.0,0.24290656254999052,major_both,2,pinned,0,none,0,0.15243216520255043,0.3804778640015365,-0.19076071139147932,1.8505336791907827,1.883025602785053,0.022924909091782318,5.5,1.2058289095316346,0.0043059400610109926,1.4543179618417466,1.4126997555981606,1.038607707603227,0.7834192327194205,-1.9807260855750841,1.985818653721776,1.6250352283452127,1,0.2941919851730546,16.46877838391508,1,0.04986655960269079,0.04456400109384854,0.02844140752621081,0.06825655373558756
1020,name 'add_cantilever_beams' is not defined,midrise_regular,13,3,3,4,4,6.904027897544154,7.734051647422627,4.1697535390479725,4.66404522351448,54.70108769209015,1,0,0.4785284528206235,1.2137177316291474,1.8164813205549426,1.434629117418263,0.9647243586342281,1.0135132437714789,0.9370514106787848,3.270886243317835,3.5607659235620464,0.1802991713868185,1.9204800971450928,35.02556248013971,0.028047429456336877,0.05579663464976926,0.05659101911841748,0.08097940389298228,2.671901818561044,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0.0,0.12625291076704132,major_one_end,1,pinned,0,partial,1,0.09100829120347909,0.34045243990477403,-0.17239350377945456,1.7346210919351615,1.128170534477137,0.03259931883565702,6.4044758350471716,1.2940614354696045,0.21404026209197435,1.0545003149912957,1.3081544849637665,0.96270516547405,0.9536582845467269,41.731278464225035,0.8284094081538773,1.1468265831042552,2,0.0906051586111149,1.572308352470743,8,0.025635228910632045,0.04028364267536336,0.05382140063175994,0.049213746797021896
1021,name 'add_cantilever_beams' is not defined,twisted_tower,69,3,3,4,4,7.255573479207957,8.970770266900342,3.82496083405212,4.741449353841839,264.838786069386,1,1,0.7657487868745694,1.4495954106614106,1.4817625427454746,1.4408886345861593,0.8042910579902706,0.9336230634408966,1.0600353211869045,1.4877554778848427,2.5783946411974688,4.1815214527511895,3.176092605903932,39.69025739762156,0.07712557847053707,0.0892257331461018,0.1777838080717977,0.09344740862814395,27.130960471491164,77.03800683905149,0.0,0.0,0.10583923597873224,0.40752902934244434,0.0,0,0.6004202039725404,1,0,0,0.0,0.02718035335189366,major_one_end,1,mixed,1,partial,1,0.1067031395647221,0.12648566072961726,0.14371611099297693,1.5491443835996794,1.5334109318058133,0.05569081126116871,5.5,1.1538217733820275,0.2578469909687771,1.8864028867237077,1.4605285986475958,1.1010898775549298,0.8081100458962276,-1.8554930825579872,1.8723353072830962,1.3953133172139387,2,0.041895161664695146,6.7020978467230545,1,0.008242661618282467,0.04288969449677584,0.01200089001729521,0.02820402340162323
